rssi,snr,ax,ay,az,wx,wy,wz,mx,my,mz,temperature,p,time,timeOfWeek,timeOFWeekFracPart,gpsFix,ecefx,ecefy,ecefz,positionAcc3D,ecefvx,ecefvy,ecefvz,speedAcc,numbSat,drogueStatus
-80,25,-976.699,-86.2745,-215.686,-0.0175769,0.0793622,-0.00585895,4684.67,-3329.15,-1698.31,27.5312,94099,276,592608000,475047,3,391946541,-435477091,-251399802,296,1,-1,1,11,8,1
-80,25,-968.932,-78.4314,-219.608,-0.01012,0.0601874,-0.0165116,4647.3,-3329.15,-1698.31,27.5312,94093,277,592608400,476609,3,391946541,-435477091,-251399801,288,1,-1,0,15,9,1
-80,24,-972.816,-74.5098,-227.451,-0.0207727,0.0740359,-0.0133158,4572.55,-3445.17,-1746.47,27.5312,94099,277,592608400,476609,3,391946541,-435477091,-251399801,288,1,-1,0,15,9,1
-81,26,-980.583,-74.5098,-223.529,-0.00479369,0.0708401,-0.0175769,4684.67,-3329.15,-1650.14,27.5562,94089,277,592609000,478961,3,391946535,-435477088,-251399799,277,0,-1,0,14,9,1
-80,25,-972.816,-66.6667,-235.294,-0.01012,0.0676443,-0.0143811,4609.93,-3329.15,-1698.31,27.525,94087,276,592609200,479748,3,391946532,-435477086,-251399798,273,1,0,1,15,9,1
-80,25,-968.932,-82.3529,-215.686,-0.0197074,0.0676443,-0.0122505,4609.93,-3367.82,-1746.47,27.5438,94096,276,592609400,480535,3,391946530,-435477085,-251399797,270,0,-1,-1,13,9,1
-80,26,-980.583,-78.4314,-223.529,-0.00372843,0.0729706,-0.0186421,4722.04,-3329.15,-1650.14,27.525,94084,277,592609800,482115,3,391946526,-435477081,-251399794,264,1,0,-1,15,9,1
-81,24,-961.165,-86.2745,-219.608,-0.0143811,0.0719054,-0.0218379,4647.3,-3290.48,-1698.31,27.5562,94095,276,592610000,482907,3,391946523,-435477078,-251399793,261,0,-1,0,14,9,1
-80,24,-976.699,-70.5882,-219.608,-0.00798948,0.0772317,-0.0122505,4647.3,-3406.5,-1698.31,27.5625,94099,277,592610400,484495,3,391946517,-435477073,-251399790,255,1,-1,1,14,9,1
-80,25,-972.816,-78.4314,-231.373,-0.00585895,0.0644485,-0.0122505,4609.93,-3329.15,-1650.14,27.5688,94102,276,592610600,485291,3,391946514,-435477070,-251399788,252,-1,-1,-1,14,9,1
-80,22,-972.816,-82.3529,-219.608,-0.00905475,0.0655138,-0.0133158,4609.93,-3329.15,-1698.31,27.5625,94105,276,592610800,486087,3,391946512,-435477068,-251399787,250,1,-1,0,12,9,1
-80,25,-972.816,-74.5098,-235.294,0.0015979,0.0687096,-0.0143811,4647.3,-3290.48,-1698.31,27.5688,94108,277,592611200,487685,3,391946507,-435477063,-251399785,245,1,0,-1,15,9,1
-80,24,-972.816,-70.5882,-215.686,-0.00479369,0.0729706,-0.0186421,4647.3,-3290.48,-1746.47,27.5438,94099,276,592611400,488485,3,391946505,-435477061,-251399784,242,0,-1,0,12,9,1
-81,26,-976.699,-74.5098,-211.765,-0.0133158,0.066579,-0.0165116,4684.67,-3329.15,-1650.14,27.5625,94095,277,592611800,490089,3,391946500,-435477056,-251399782,238,0,-1,-1,15,9,1
-81,25,-968.932,-70.5882,-219.608,-0.01012,0.0655138,-0.0175769,4647.3,-3329.15,-1698.31,27.5875,94098,276,592612000,490893,3,391946497,-435477054,-251399780,236,0,-1,0,13,9,1
-81,23,-968.932,-82.3529,-211.765,0.00266316,0.0772317,-0.0133158,4647.3,-3290.48,-1650.14,27.5875,94095,276,592612200,491696,3,391946495,-435477052,-251399779,233,0,-1,-1,14,9,1
-80,23,-972.816,-70.5882,-219.608,-0.0122505,0.0751011,-0.0122505,4609.93,-3290.48,-1698.31,27.5625,94089,277,592612600,493307,3,391946491,-435477047,-251399777,229,0,-1,0,15,9,1
-80,24,-968.932,-82.3529,-223.529,-0.00585895,0.0633832,-0.0143811,4609.93,-3329.15,-1698.31,27.5562,94077,276,592612800,494114,3,391946488,-435477045,-251399775,227,1,-1,1,13,9,1
-81,23,-980.583,-74.5098,-219.608,-0.00479369,0.0687096,-0.0133158,4684.67,-3290.48,-1650.14,27.5875,94095,277,592613200,495730,3,391946486,-435477042,-251399774,223,0,0,-1,15,9,1
-80,25,-976.699,-78.4314,-231.373,0.00266316,0.0782969,-0.0175769,4684.67,-3251.81,-1650.14,27.5938,94098,276,592613400,496539,3,391946485,-435477041,-251399773,221,2,0,1,15,9,1
-80,25,-980.583,-70.5882,-215.686,-0.01012,0.0782969,-0.0133158,4647.3,-3213.14,-1698.31,27.5875,94098,276,592613600,497349,3,391946483,-435477039,-251399773,219,-1,-1,-1,12,9,1
-80,25,-976.699,-82.3529,-235.294,-0.0154463,0.0729706,-0.0154463,4684.67,-3290.48,-1650.14,27.5938,94098,277,592614000,498973,3,391946481,-435477036,-251399770,216,-1,-1,-1,14,9,1
-80,25,-976.699,-82.3529,-227.451,-0.00266316,0.0697748,-0.0154463,4609.93,-3367.82,-1698.31,27.5875,94114,276,592614200,499787,3,391946480,-435477034,-251399769,214,1,-1,0,14,9,1
-80,25,-972.816,-90.1961,-223.529,-0.00585895,0.0676443,-0.0122505,4647.3,-3329.15,-1746.47,27.6,94101,277,592614600,-498586,3,391946478,-435477030,-251399767,211,0,-1,0,13,9,1
